list_id,list_name,campaign,tier,phone_number,company_name,title,address1,city,state,postal_code,email,caller_id_pool,priority,vendor_lead_code,source,comments
1001,SoFla-Broward,RRSOFLA,Broward (954/754),9544668751,Windsor at Miramar,Apartment community,,Miramar,FL,33027,,954/754,P1,WindsoratMiramar,windsorcommunities.com,"[BROWARD 954/754] Windsor Communities mgmt; resort community, high unit count"
1001,SoFla-Broward,RRSOFLA,Broward (954/754),9549086257,Marela Apartments,Apartment community,,Pembroke Pines,FL,33028,,954/754,P1,MarelaApartments,marelaaptspembrokepines.com,[BROWARD 954/754] Willow Bridge mgmt; confirm operating
1001,SoFla-Broward,RRSOFLA,Broward (954/754),9547151127,The Lakes at Pembroke,Apartment community,,Pembroke Pines,FL,33024,,954/754,P1,TheLakesatPembroke,thelakespembrokepinesfl.com,[BROWARD 954/754] Luxury community
1001,SoFla-Broward,RRSOFLA,Broward (954/754),9546208204,Pembroke Cove (Scully Company),Apartment community,,Pembroke Pines,FL,33028,,954/754,P1,PembrokeCoveScullyCo,scullycompany.com,[BROWARD 954/754] Scully Company multi-property operator
1001,SoFla-Broward,RRSOFLA,Broward (954/754),9543426721,Epic Residences,Apartment community,,Miramar,FL,33025,,954/754,P1,EpicResidences,epicresidencesmiramar.com,[BROWARD 954/754] Upscale residences + hotel
1001,SoFla-Broward,RRSOFLA,Broward (954/754),8448155321,Castle Group,Condo/HOA mgmt,,Broward,FL,,,954/754,P1,CastleGroup,castlegroup.com,[BROWARD 954/754] Major Broward condo/HOA manager
1001,SoFla-Broward,RRSOFLA,Broward (954/754),8009326636,Sentry Management,Condo/HOA mgmt,,Broward,FL,,,954/754,P2,SentryManagement,sentrymgt.com,[BROWARD 954/754] AMO; HOA & condo (national line)
1001,SoFla-Broward,RRSOFLA,Broward (954/754),9545975977,TrueNest Property Management,Property management,,Miramar,FL,,,954/754,P2,TrueNestPropertyMana,truenestpm.com,[BROWARD 954/754] SF + small multifamily
1001,SoFla-Broward,RRSOFLA,Broward (954/754),9543625235,Real Property Mgmt Premier,Property management,,Miramar/Pembroke Pines,FL,,,954/754,P2,RealPropertyMgmtPrem,rpmpremierfl.com,[BROWARD 954/754] Serves both severe-tier cities
1001,SoFla-Broward,RRSOFLA,Broward (954/754),9547524800,Florida Property Mgmt & Sales,Property management,,Miramar,FL,,,954/754,P2,FloridaPropertyMgmtS,floridapropertyrealty.com,[BROWARD 954/754] Tenant placement + maintenance
